

----------------------------------------------------------------------------------------------------------------

            Corona Virus Statistical Analysis Death Data 
            Coded : J. M. Nichols 31/3/2020
            Version : 1.1.1.1
            Date of Analysis d/m/year  :: 20/ 4/2020
            Time of Analysis           :: 13:37: 1
            UTC Difference  (hours)    ::  5   BEHIND GMT

----------------------------------------------------------------------------------------------------------------

         Notes:

         1.     File source :: https://www.ecdc.europa.eu/en/geographical-distribution-2019-ncov-cases 
         2.     Source organization :: European Centre for Disease Prevention and Control 
         3.     Country Code is assigned by the program based on numerical order in original file. 
         4.     Statistical Codes are used for the Regression Analysis and the FFT Analysis.
         5.     Record date is based on European Base Time for European Union.
         6.     Line data format is a code based on the actual number formats.
         7.     infection Count for each day.


---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                             
 | Country |    Statistical   |  Line    |       Record Date        |    Line     |  Infection  |   Death  | GEOD |                   Country                 |   Name  |
 | Code    |  Code 1  Code 2  |  Number  |  Day     Month    Year   | Data Format |   Count     |   Count  |  ID  |                    Name                   |  Length |
 |    3    |    15      16    |      102 |   13      3       2020   |       34    |       12    |      0   |  AL  |              Albania                      |    7    |
 |    3    |    16      17    |      103 |   12      3       2020   |       33    |        1    |      1   |  AL  |              Albania                      |    7    |
 |    3    |    17      18    |      104 |   11      3       2020   |       33    |        4    |      0   |  AL  |              Albania                      |    7    |
 |    3    |    18      19    |      105 |   10      3       2020   |       33    |        4    |      0   |  AL  |              Albania                      |    7    |
 |    3    |    19      20    |      106 |    9      3       2020   |       32    |        2    |      0   |  AL  |              Albania                      |    7    |
 |    4    |     0       1    |      107 |   28      3       2020   |       34    |       43    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |     1       2    |      108 |   27      3       2020   |       34    |       36    |      3   |  AD  |              Andorra                      |    7    |
 |    4    |     2       3    |      109 |   26      3       2020   |       34    |       24    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |     3       4    |      110 |   25      3       2020   |       34    |       31    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |     4       5    |      111 |   24      3       2020   |       34    |       20    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |     5       6    |      112 |   23      3       2020   |       34    |       25    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |     6       7    |      113 |   22      3       2020   |       34    |       13    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |     7       8    |      114 |   21      3       2020   |       33    |        0    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |     8       9    |      115 |   20      3       2020   |       34    |       22    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |     9      10    |      116 |   19      3       2020   |       34    |       39    |      0   |  AD  |              Andorra                      |    7    |
